Entrez_Gene_Id,Hugo_Symbol
112714,TUBA3E
92856,IMP4
653781,POTEJ
50649,ARHGEF4
344148,NCKAP5
23518,R3HDM1
23190,UBXN4
53353,LRP1B
4703,NEB
129446,XIRP2
1745,DLX1
6670,SP3
10477,UBE2E3
5136,PDE1A
1281,COL3A1
1290,COL5A2
66037,BOLL
316,AOX1
65065,NBEAL1
1373,CPS1
580,BARD1
29926,GMPPA
79843,FAM124B
93349,SP140L
6672,SP100
81618,ITM2C
5707,PSMD1
23178,PASK
152330,CNTN4
79750,ZNF385D
10217,CTDSPL
6331,SCN5A
6336,SCN10A
92999,ZBTB47
152206,CCDC13
353274,ZNF445
1951,CELSR3
23166,STAB1
7474,WNT5A
201625,DNAH12
201627,DENND6A
27086,FOXP1
6092,ROBO2
253559,CADM2
389136,VGLL3
2042,EPHA3
285220,EPHA6
131544,CRYBG3
2596,GAP43
4045,LSAMP
57514,ARHGAP31
165829,GPR156
11167,FSTL1
846,CASR
131669,UROC1
131034,CPNE4
55179,FAIM
54464,XRN1
23350,U2SURP
116931,MED12L
79740,ZBBX
2122,MECOM
55892,MYNN
10057,ABCC5
1857,DVL3
2049,EPHB3
10644,IGF2BP2
197,AHSG
344892,RTP2
2257,FGF12
344905,ATP13A5
7468,WHSC1
7469,NELFA
6002,RGS12
55646,LYAR
55351,STK32B
10891,PPARGC1A
116984,ARAP2
,KIAA1239
389206,BEND4
285525,YIPF7
60558,GUF1
2560,GABRB1
57205,ATP10D
285527,FRYL
132671,SPATA18
23284,LPHN3
54959,ODAM
441024,MTHFD2L
79966,SCD5
22915,MMRN1
126,ADH1C
55212,BBS7
84162,KIAA1109
132430,PABPC4L
987,LRBA
2244,FGB
79884,MAP9
2891,GRIA2
4750,NEK1
25854,FAM149A
2160,F11
9319,TRIP13
348932,SLC6A18
50805,IRX4
11044,PAPD7
108,ADCY2
50834,TAS2R1
23194,FBXL7
56979,PRDM9
10923,SUB1
4883,NPR3
81792,ADAMTS12
5618,PRLR
79925,SPEF2
167127,UGT3A2
3977,LIFR
1601,DAB2
730,C7
389289,ANXA2R
23517,SKIV2L2
3350,HTR1A
57486,NLN
5884,RAD17
84340,GFM2
134526,ACOT12
3295,HSD17B4
2676,GFRA3
56147,PCDHA1
56142,PCDHA6
56132,PCDHB3
56124,PCDHB12
81789,TIGD6
5159,PDGFRB
153745,FAM71B
23120,ATP10B
57451,TENM2
5917,RARS
6586,SLIT3
100131897,FAM196B
133491,C5ORF47
1212,CLTB
117608,ZNF354B
285679,C5ORF60
285782,CAGE1
154007,SNRNP48
3096,HIVEP1
9972,NUP153
9856,KIAA0319
11119,BTN3A1
80736,SLC44A4
4855,NOTCH4
7287,TULP1
221472,FGD2
222611,GPR111
5314,PKHD1
27283,TINAG
667,DST
577,BAI3
1297,COL9A1
22999,RIMS1
1303,COL12A1
3617,IMPG1
,KIAA1009
114792,KLHL32
10973,ASCC3
57531,HACE1
8528,DDO
3910,LAMA4
222553,SLC35F1
2697,GJA1
114801,TMEM200A
134860,TAAR9
9038,TAAR5
116843,SLC18B1
345930,ECT2L
3097,HIVEP2
23328,SASH1
2099,ESR1
5689,PSMB1
54919,HEATR2
221935,SDK1
221960,CCZ1B
23161,SNX13
3200,HOXA3
3206,HOXA10
358,AQP1
165,AEBP1
816,CAMK2B
11055,ZPBP
5260,PHKG1
2913,GRM3
53616,ADAM22
219578,ZNF804B
1749,DLX5
7455,ZAN
136227,COL26A1
93408,MYL10
1523,CUX1
4897,NRCAM
54674,LRRN3
83992,CTTNBP2
79974,CPED1
6677,SPAM1
2918,GRM8
168850,ZNF800
2318,FLNC
23534,TNPO3
23165,NUP205
9162,DGKI
50617,ATP6V0A4
79989,TTC26
673,BRAF
5644,PRSS1
56302,TRPV5
3792,KEL
2041,EPHA1
338398,TAS2R60
442361,OR2A2
23145,SSPO
155038,GIMAP8
51422,PRKAG2
58508,KMT2C
9228,DLGAP2
64478,CSMD1
94137,RP1L1
2626,GATA4
55806,HR
8756,ADAM7
64641,EBF2
389643,NUGGC
2936,GSR
3084,NRG1
157855,KCNU1
7994,KAT6A
340441,POTEA
5591,PRKDC
137902,PXDNL
6129,RPL7
51582,AZIN1
81034,SLC25A32
9699,RIMS2
51059,FAM135B
169044,COL22A1
286122,C8ORF31
83481,EPPK1
81704,DOCK8
169792,GLIS3
6505,SLC1A1
89882,TPD52L3
2731,GLDC
7306,TYRP1
8777,MPDZ
158326,FREM1
25769,SLC24A2
54914,FOCAD
54586,EQTN
10497,UNC13B
768,CA9
881,CCIN
389730,SPATA31A6
158471,PRUNE2
441457,NUTM2G
138803,OR13C3
79987,SVEP1
58493,INIP
113220,KIF12
5069,PAPPA
23245,ASTN2
27090,ST6GALNAC4
54662,TBC1D13
11093,ADAMTS13
2220,FCN2
4851,NOTCH1
105,ADARB2
5214,PFKP
80760,ITIH5
8029,CUBN
221074,SLC39A12
9576,SPAG6
6840,SVIL
8187,ZNF239
143162,FRMPD2
118461,C10ORF71
65217,PCDH15
219621,C10ORF107
55749,CCAR1
219793,TBATA
64072,CDH23
442911,MIR346
3988,LIPA
80351,TNKS2
1558,CYP2C8
84833,USMG5
22984,PDCD11
114815,SORCS1
282996,RBM20
27250,PDCD4
2674,GFRA1
259217,HSPA12A
2869,GRK5
36,ACADSB
118611,C10ORF90
282973,JAKMIP3
338707,B4GALNT4
4583,MUC2
727897,MUC5B
29850,TRPM5
143496,OR52B4
390038,OR51D1
119694,OR51F2
119678,OR52E2
85363,TRIM5
7275,TUB
22800,RRAS2
144100,PLEKHA7
6833,ABCC8
113174,SAAL1
9152,SLC6A5
159963,SLC5A12
744,MPPED2
341019,DCDC1
7490,WT1
8050,PDHX
54765,TRIM44
4038,LRP4
4607,MYBPC3
79550,OR4C4P
26338,OR5L2
282770,OR10AG1
390151,OR8H2
219479,OR5R1
338675,OR5AP2
219972,MPEG1
6947,TCN1
51338,MS4A4A
54860,MS4A12
9219,MTA2
10482,NXF1
1128,CHRM1
9356,SLC22A6
23769,FLRT1
7542,ZFPL1
91056,AP5B1
9092,SART1
2248,FGF3
84649,DGAT2
26011,TENM4
79659,DYNC2H1
80310,PDGFD
838,CASP5
2977,GUCY1A2
120376,COLCA2
399949,C11ORF88
51092,SIDT2
84000,TMPRSS13
917,CD3G
5818,PVRL1
57476,GRAMD1B
7753,ZNF202
219865,OR8G5
219855,SLC37A2
9743,ARHGAP32
6540,SLC6A13
65125,WNK1
775,CACNA1C
10867,TSPAN9
4704,NDUFA9
3742,KCNA6
7450,VWF
10536,LEPREL2
113246,C12ORF57
715,C1R
5858,PZP
653247,PRB2
89869,PLCZ1
53919,SLCO1C1
55726,ASUN
29951,PDZRN4
80070,ADAMTS20
51135,IRAK4
81539,SLC38A1
5571,PRKAG1
121006,FAM186A
51411,BIN2
6334,SCN8A
3891,KRT85
9119,KRT75
3854,KRT6B
3852,KRT5
4778,NFE2
3071,NCKAP1L
90070,LACRT
11176,BAZ2A
4640,MYO1A
2735,GLI1
23426,GRIP1
4848,CNOT2
5787,PTPRB
121278,TPH2
1466,CSRP2
6857,SYT1
4617,MYF5
8499,PPFIA2
8411,EEA1
10154,PLXNC1
246213,SLC17A8
79023,NUP37
29915,HCFC2
11137,PWP1
9671,WSCD2
7374,UNG
283446,MYO1H
28981,IFT81
6910,TBX5
23389,MED13L
84900,RNFT2
160777,CCDC60
11021,RAB35
23067,SETD1B
55206,SBNO1
80212,CCDC92
5426,POLE
7278,TUBA3C
56163,RNF17
3651,PDX1
83548,COG3
23143,LRCH1
3356,HTR2A
4752,NEK3
57626,KLHL1
55757,UGGT2
6564,SLC15A1
259232,NALCN
8660,IRS2
1282,COL4A1
390429,OR4N2
79317,OR4K5
122740,OR4K14
11198,SUPT16H
4323,MMP14
9472,AKAP6
64067,NPAS3
145581,LRFN5
161357,MDGA2
729665,CCDC175
6252,RTN1
4990,SIX6
57475,PLEKHH1
9628,RGS6
80127,CCDC176
123016,TTC8
57718,PPP4R4
256394,SERPINA11
64919,BCL11B
768222,MIR770
388015,RTL1
378881,MIR381HG
442914,MIR369
1778,DYNC1H1
91828,EXOC3L4
113146,AHNAK2
23241,PACS2
28439,IGHV3-30
28396,IGHV4-31
390538,OR4M2
23742,NPAP1
6638,SNRPN
57194,ATP10A
8924,HERC2
4308,TRPM1
56851,EMC7
89978,DPH6
701,BUB1B
5330,PLCB2
2038,EPB42
9153,SLC28A2
80031,SEMA6D
23312,DMXL2
440279,UNC13C
23060,ZNF609
84465,MEGF11
22801,ITGA11
4756,NEO1
145957,NRG4
597,BCL2A1
643707,GOLGA6L4
64410,KLHL25
123624,AGBL1
28232,SLCO3A1
56963,RGMA
83986,ITFG3
89941,RHOT2
64499,TPSB2
90850,ZNF598
10921,RNPS1
84256,FLYWCH1
84891,ZSCAN10
4993,OR2C1
54715,RBFOX1
729993,SHISA9
55567,DNAH3
79728,PALB2
3684,ITGAM
3681,ITGAD
6524,SLC5A2
,RP11-812E19.9
5257,PHKB
27324,TOX3
84166,NLRC5
9289,GPR56
5699,PSMB10
55565,ZNF821
170692,ADAMTS18
83716,CRISPLD2
4597,MVD
10514,MYBBP1A
83394,PITPNM3
239,ALOX12
79142,PHF23
7157,TP53
5187,PER1
80169,CTC1
22899,ARHGEF15
6154,RPL26
8735,MYH13
4622,MYH4
1770,DNAH9
51168,MYO15A
8844,KSR1
4843,NOS2
79915,ATAD5
23512,SUZ12
6362,CCL18
101060321,TBC1D3G
79154,DHRS11
3868,KRT16
47,ACLY
83538,TTC25
4222,MEOX1
6521,SLC4A1
124783,SPATA32
9020,MAP3K14
30009,TBX21
3211,HOXB1
3214,HOXB4
51225,ABI3
1101,CHAD
63897,HEATR6
786,CACNG1
54549,SDK2
10871,CD300C
79157,MFSD11
332,BIRC5
57602,USP36
146713,RBFOX3
55036,CCDC40
5986,RFNG
7525,YES1
79822,ARHGAP28
284217,LAMA1
25925,ZNF521
80816,ASXL3
54808,DYM
,CCDC11
220134,SKA1
5275,SERPINB13
6318,SERPINB4
55628,ZNF407
54531,MIER2
53615,MBD3
148229,ATP8B3
360200,TMPRSS9
170961,ANKRD24
,HDGFL2
407045,MIR7-3
79230,ZNF557
10332,CLEC4M
4670,HNRNPM
94025,MUC16
79088,ZNF426
50509,COL5A3
9294,S1PR2
5141,PDE4A
25959,KANK2
30000,TNPO2
79173,C19ORF57
3337,DNAJB1
30817,EMR2
126402,CCDC105
26532,OR10H3
23025,UNC13A
148113,CILP2
9534,ZNF254
57616,TSHZ3
22847,ZNF507
56301,SLC7A10
27033,ZBTB32
84503,ZNF527
57828,CATSPERG
6261,RYR1
54938,SARS2
80271,ITPKC
1572,CYP2F1
1954,MEGF8
1088,CEACAM8
5670,PSG2
56006,SMG9
7733,ZNF180
388551,CEACAM16
90332,EXOC3L2
8993,PGLYRP1
147920,IGFL2
25865,PRKD2
8605,PLA2G4C
93233,CCDC114
770,CA11
54795,TRPM4
199800,ADM5
50944,SHANK1
3816,KLK1
27036,SIGLEC7
945,CD33
2109,ETFB
4818,NKG7
27181,SIGLEC8
89858,SIGLEC12
162962,ZNF836
342926,ZNF677
388561,ZNF761
574459,MIR512-2
91662,NLRP12
11026,LILRA3
10859,LILRB1
3802,KIR2DL1
199713,NLRP7
646643,SBK2
29924,EPN1
126205,NLRP8
90485,ZNF835
23619,ZIM2
57663,USP29
9422,ZNF264
162972,ZNF550
642636,RAD21L1
6614,SIGLEC1
8760,CDS2
56255,TMX4
23236,PLCB1
57144,PAK7
63926,ANKEF1
631,BFSP1
27131,SNX5
8530,CST7
3055,HCK
434,ASIP
51230,PHF20
57446,NDRG3
56259,CTNNBL1
11122,PTPRT
4605,MYBL2
149699,GTSF1L
57158,JPH2
80336,PABPC1L
11317,RBPJL
64405,CDH22
64849,SLC13A3
10564,ARFGEF2
100302146,MIR1302-5
27304,MOCS3
5105,PCK1
79716,NPEPL1
60437,CDH26
28231,SLCO4A1
4923,NTSR1
1299,COL9A3
128414,NKAIN4
57642,COL20A1
3785,KCNQ2
85441,HELZ2
7179,TPTE
5651,TMPRSS15
4685,NCAM2
643803,KRTAP24-1
30811,HUNK
23515,MORC3
1826,DSCAM
63977,PRDM15
7226,TRPM2
386683,KRTAP12-3
6573,SLC19A1
150160,CCT8L2
27439,CECR6
23786,BCL2L13
85376,RIMBP3
23753,SDF2L1
28813,IGLV2-23
28814,IGLV2-18
8897,MTMR3
253143,PRR14L
9681,DEPDC5
254240,BPIFC
10043,TOM1
80832,APOL4
4242,MFNG
11135,CDC42EP1
8398,PLA2G6
11252,PACSIN2
85358,SHANK3
6473,SHOX
25878,MXRA5
412,STS
265,AMELX
347442,DCAF8L2
1756,DMD
4128,MAOA
56850,GRIPAP1
11230,PRAF2
54552,GNL3L
212,ALAS2
11326,VSIG4
60401,EDA2R
56159,TEX11
3561,IL2RG
9452,ITM2A
27328,PCDH11X
1821,DRP2
3358,HTR2C
57631,LRCH2
51213,LUZP4
139170,DCAF12L1
51114,ZDHHC9
9363,RAB33A
55609,ZNF280C
3547,IGSF1
4110,MAGEA11
139135,PASD1
29944,PNMA3
11219,TREX2
3054,HCFC1
2157,F8
2571,GAD1
2555,GABRA2
50859,SPOCK3
3575,IL7R
64946,CENPH
2554,GABRA1
3937,LCP2
10371,SEMA3A
7586,ZKSCAN1
253650,ANKRD18A
56521,DNAJC12
374355,CCDC172
374403,TBC1D10C
57101,ANO2
196527,ANO6
10419,PRMT5
728224,KRTAP4-8
125962,OR7G1
284459,HKR1
,PAPL
2359,FPR3
140733,MACROD2
23532,PRAME
54457,TAF7L
23334,SZT2
57643,ZSWIM5
4678,NASP
54856,GON4L
338,APOB
84140,FAM161A
22837,COBLL1
6326,SCN2A
2066,ERBB4
130367,SGPP2
56203,LMOD3
339983,NAT8L
353497,POLN
26511,CHIC2
56127,PCDHB9
2566,GABRG2
896,CCND3
27102,EIF2AK1
136895,C7ORF31
728927,ZNF736
441250,TYW1B
5189,PEX1
3475,IFRD1
55753,OGDHL
,TTC18
5728,PTEN
390162,OR5M9
79026,AHNAK
2011,MARK2
219927,MRPL21
1207,CLNS1A
85458,DIXDC1
3145,HMBS
928,CD9
51147,ING4
11016,ATF7
121551,BTBD11
9818,NUPL1
394,ARHGAP5
28455,IGHV2-26
84952,CGNL1
18,ABAT
80063,ATF7IP2
368,ABCC6
10595,ERN2
4641,MYO1C
81871,KRTAP4-6
84034,EMILIN2
6915,TBXA2R
55184,DZANK1
22981,NINL
728441,GGT2
442444,FAM47C
369,ARAF
538,ATP7A
6594,SMARCA1
2000,ELF4
9016,SLC25A14
492,ATP2B3
9988,DMTF1
54827,NXPE4
64781,CERK
9696,CROCC
10250,SRRM1
23358,USP24
4853,NOTCH2
100132406,NBPF10
100129271,C1ORF68
7059,THBS3
5279,PIGC
284532,OR14A16
348654,GEN1
116143,WDR92
6439,SFTPB
23020,SNRNP200
60482,SLC5A7
55183,RIF1
23363,OBSL1
114790,STK11IP
9320,TRIP12
7476,WNT7A
256076,COL6A5
5276,SERPINI2
79633,FAT4
8821,INPP4B
90355,C5ORF30
1794,DOCK2
3118,HLA-DQA2
340273,ABCB5
3199,HOXA2
1278,COL1A2
8910,SGCE
25913,POT1
55798,METTL2B
259286,TAS2R40
389610,XKR5
56623,INPP5E
221002,RASGEF1A
340706,VWA2
92565,FANK1
5719,PSMD13
219957,OR9Q2
79785,RERGL
5756,TWF1
1280,COL2A1
8085,KMT2D
6773,STAT2
11103,KRR1
374462,PTPRQ
27340,UTP20
10129,FRY
3981,LIG4
28663,TRAV20
1690,COCH
90141,EFCAB11
26153,KIF26A
3497,IGHE
28424,IGHV3-48
80349,WDR61
64285,RHBDF1
146198,ZFP90
83449,PMFBP1
100616273,MIR451B
55288,RHOT1
11276,SYNRG
84961,FBXL20
9969,MED13
,RP11-683L23.1
5725,PTBP1
9817,KEAP1
4713,NDUFB7
3811,KIR3DL1
55655,NLRP2
128869,PIGU
23315,SLC9A8
11096,ADAMTS5
2678,GGT1
157,ADRBK2
8911,CACNA1I
340562,SATL1
186,AGTR2
340578,DCAF12L2
158358,KIAA2026
1646,AKR1C2
572,BAD
1786,DNMT1
80176,SPSB1
390999,PRAMEF12
7799,PRDM2
57190,SEPN1
8547,FCN3
1580,CYP4B1
9372,ZFYVE9
84950,PRPF38A
6342,SCP2
26027,ACOT11
374986,FAM73A
55283,MCOLN3
1301,COL11A1
333926,PPM1J
9939,RBM8A
200030,NBPF11
339398,LINGO4
9898,UBAP2L
115350,FCRL1
391107,OR10K2
343413,FCRL6
25903,OLFML2B
54499,TMCO1
387597,ILDR2
55827,DCAF6
89866,SEC16B
54823,SWT1
10765,KDM5B
134,ADORA1
83953,FCAMR
27042,DIEXF
9015,TAF1A
7100,TLR5
2987,GUK1
57165,GJC2
9816,URB2
22796,COG2
55127,HEATR1
8564,KMO
128025,WDR64
26188,OR1C1
25893,TRIM58
391192,OR2L3
391194,OR2M2
127066,OR14C36
7173,TPO
50618,ITSN2
8884,SLC5A6
79623,GALNT14
80745,THUMPD2
130271,PLEKHH2
6711,SPTBN1
7444,VRK2
72,ACTG2
80059,LRRTM4
5068,REG3A
28901,IGKV1D-16
400986,ANKRD36C
375248,ANKRD36
699,BUB1
274,BIN1
9394,HS6ST1
728378,POTEF
445582,POTEE
3938,LCT
79712,GTDC1
11227,GALNT5
4036,LRP2
129881,CCDC173
140469,MYO3B
79634,SCRN3
114880,OSBPL6
100506866,TTN-AS1
401024,FSIP2
4430,MYO1B
285175,UNC80
50485,SMARCAL1
7145,TNS1
9759,HDAC4
389090,OR6B2
2817,GPC1
64419,MTMR14
6854,SYN2
23243,ANKRD28
6304,SATB1
22907,DHX30
10180,RBM6
7869,SEMA3B
56920,SEMA3G
142686,ASB14
132204,SYNPR
6091,ROBO1
26341,OR5H1
84873,GPR128
27136,MORC1
644974,ALG1L2
131873,COL6A6
6474,SHOX2
6476,SI
80012,PHC3
4585,MUC4
8602,NOP14
2868,GRK4
27146,FAM184B
26228,STAP1
54490,UGT2B28
7363,UGT2B4
1447,CSN2
173,AFM
287,ANK2
57721,METTL14
1047,CLGN
729830,FAM160A1
54798,DCHS2
4887,NPY2R
55016,MARCH1
80014,WWC2
2195,FAT1
1010,CDH12
253260,RICTOR
133418,EMB
11082,ESM1
133396,IL31RA
375449,MAST4
4131,MAP1B
153396,TMEM161B
64167,ERAP2
57556,SEMA6A
501,ALDH7A1
54819,ZCCHC10
56110,PCDHGA5
81545,FBXO38
22885,ABLIM3
133522,PPARGC1B
1436,CSF1R
3702,ITK
153830,RNF145
53917,RAB24
51428,DDX41
10486,CAP2
2880,GPX5
1302,COL11A2
1616,DAXX
221458,KIF6
57497,LRFN2
221443,OARD1
705,BYSL
171558,PTCRA
55788,LMBRD1
55023,PHIP
23195,MDN1
5980,REV3L
9729,KIAA0408
26230,TIAM2
84629,TNRC18
84132,USP42
85477,SCIN
2128,EVX1
2086,ERV3-1
10926,DBF4
55607,PPP1R9A
10165,SLC25A13
402682,UFSP1
6733,SRPK2
9732,DOCK4
5506,PPP1R3A
7472,WNT2
5803,PTPRZ1
51200,CPA4
5420,PODXL
57189,KIAA1147
135941,OR2A14
79648,MCPH1
137868,SGCZ
10361,NPM2
55756,INTS9
79645,EFCAB1
8895,CPNE3
8767,RIPK2
793,CALB1
2843,GPR20
6456,SH3GL2
360,AQP3
27019,DNAI1
259308,FAM205A
19,ABCA1
210,ALAD
5047,PAEP
3601,IL15RA
10659,CELF2
55130,ARMC4
1103,CHAT
8031,NCOA4
220965,FAM13C
8509,NDST2
118932,ANKRD22
5832,ALDH18A1
150,ADRA2A
4892,NRAP
11023,VAX1
1755,DMBT1
161,AP2A2
119774,OR52K2
79324,OR51G1
390054,OR52A5
3746,KCNC1
79797,ZNF408
120824,TRIM51GP
81309,OR4C15
390191,OR5B12
219982,OR5A1
26007,DAK
144097,C11ORF84
823,CAPN1
11041,B3GNT1
582,BBS1
6712,SPTBN2
2017,CTTN
3636,INPPL1
341152,OR2AT4
92105,INTS4
56158,TEX12
54494,C11ORF71
56649,TMPRSS4
84959,UBASH3B
894,CCND2
1822,ATN1
9746,CLSTN3
283316,CD163L1
1911,PHC1
55359,STYK1
3887,KRT81
286887,KRT6C
51380,CSAD
25946,ZNF385A
1606,DGKA
6404,SELPLG
54434,SSH1
79039,DDX54
9735,KNTC1
143,PARP4
1045,CDX2
122042,RXFP2
23078,VWA8
80183,KIAA0226L
26512,INTS6
5101,PCDH9
1602,DACH1
22894,DIS3
688,KLF5
9358,ITGBL1
28644,TRAV38-1
25938,HEATR5A
6751,SSTR1
122786,FRMD6
91754,NEK9
161394,SAMD15
8115,TCL1A
3494,IGHA2
57369,GJD2
9716,AQR
26015,RPAP1
23269,MGA
146057,TTBK2
79968,WDR76
11001,SLC27A2
342035,GLDN
4734,NEDD4
3990,LIPC
79811,SLTM
10845,CLPX
10260,DENND4A
3073,HEXA
92912,UBE2Q2
51458,RHCG
5045,FURIN
6755,SSTR5
7249,TSC2
64063,PRSS22
4210,MEFV
9665,KIAA0430
4363,ABCC1
204474,PDILT
7385,UQCRC2
162083,C16ORF82
3566,IL4R
9739,SETD1A
2521,FUS
55737,VPS35
80205,CHD9
29109,FHOD1
342372,PKD1L3
85445,CNTNAP4
4094,MAF
93107,KCNG4
863,CBFA2T3
146850,PIK3R6
51393,TRPV2
84440,RAB11FIP4
64149,C17ORF75
79893,GGNBP2
3883,KRT33A
